subjectID,psychopyVers,codeVers,sd_observe,sd_mean_mu,sd_rw,block,trial,scaling_factor,choiceRT,IFI,correct,correctArm,choice,keycode,cond,mu1,mu2,reward1,reward2,reward,start_coin,total_coin
777,2022.1.2,1,4,10,0,-1,1,0.1,279,1.0052343654222757,True,machine2,machine2,k,1,-2,17,0,17,17,250,267
777,2022.1.2,1,4,10,0,-1,2,0.1,255,1.2812534466676724,False,machine2,machine1,j,1,-2,17,-4,17,-4,250,263
777,2022.1.2,1,4,10,0,-1,3,0.1,284,1.3556958427628287,True,machine2,machine2,k,1,-2,17,-3,17,17,250,267
777,2022.1.2,1,4,10,0,1,1,0.1,269,1.0111958799596623,True,machine1,machine1,j,2,12,10,12,10,12,250,262
777,2022.1.2,1,4,10,0,1,2,0.1,38,1.214493657573125,False,machine1,machine2,k,2,12,10,12,7,7,250,257
777,2022.1.2,1,4,10,0,1,3,0.1,260,1.4720381332673942,False,machine1,machine2,k,2,12,10,12,12,12,250,262
777,2022.1.2,1,4,10,0,2,1,0.1,290,1.3369670965316964,False,machine2,machine1,j,1,0,1,5,1,5,250,255
777,2022.1.2,1,4,10,0,2,2,0.1,278,1.4951441103397238,False,machine2,machine1,j,1,0,1,0,1,0,250,250
777,2022.1.2,1,4,10,0,2,3,0.1,339,1.2611296381854449,False,machine2,machine1,j,1,0,1,-1,1,-1,250,249
